code,name_of_the_station,uf,january,february,march,april,may,june,july,august,september,october,november,december,year,longitude,latitude
82704,CRUZEIRO DO SUL,AC,247,258.3,292.6,232.8,155.6,89.7,59.1,76.4,113.2,191,222.2,229.5,2167.4,-72.66666666,-7.6
82915,RIO BRANCO,AC,294.4,298.4,278.1,207.4,87.7,32.8,31.9,56.5,84.8,153,206.7,265.9,1997.6,-67.86666666,-9.95
82807,TARAUACA,AC,281.7,257.6,326.8,200.9,135.9,60.9,48.7,62.5,112,193.1,262.3,270.5,2212.9,-70.76666666,-8.16666666
82989,AGUA BRANCA,AL,39.7,57,108.5,85,147.9,178.4,164.9,99.8,41.5,29.5,28.4,42,1022.6,-37.9,-9.28333333
82994,MACEIO,AL,83,72.9,117.4,207.5,296.9,353.8,265.2,201.5,120.2,61.6,46.9,40.5,1867.4,-35.7,-9.66666666
82992,PALMEIRA DOS INDIOS,AL,38.5,42.9,68.2,99,131,167.7,134.2,86.6,41.8,19,15.9,33.4,878.2,-36.7,-9.45
82990,PAO DE ACUCAR,AL,56.5,36.7,50.9,59.8,86.5,90,81.5,56.1,24.6,19.3,12,12.8,586.7,-37.43333333,-9.75
82996,PORTO DE PEDRAS,AL,68.2,90.9,201.1,211.6,227.6,305.7,240.4,166.2,91.9,43.2,32.5,39.6,1718.9,-35.43333333,-9.18333333
82113,BARCELOS,AM,175.2,185.9,262.7,326.7,312.5,259.5,188.4,136.9,109.9,102.6,139.9,162.4,2362.6,-60.91666666,-0.96666666
82410,BENJAMIN CONSTANT,AM,331.9,283.6,299.3,261.6,208.3,145.6,107.8,105.9,136,210.8,247.1,252.9,2590.8,-70.03333333,-4.38333333
82425,COARI,AM,264.5,265.5,322.3,272.4,213.1,128.9,87.2,68.9,100.4,156.7,215.6,261.7,2357.2,-63.13333333,-4.08333333
82326,CODAJAS,AM,332.5,356.4,422.9,402.4,297.4,158.1,108.4,91.7,136.5,186,231.8,346.3,3070.4,-62.055277769999996,-3.8411111
82610,EIRUNEPE,AM,281.7,273.1,267.9,264.4,154.6,87.8,59.3,78,137.1,189.6,233.7,278,2305.2,-69.86666666,-6.66666666
82212,FONTE BOA,AM,237.9,207.9,257.3,278,271.2,215.4,179.4,134.7,146.1,188,176.6,216.6,2509.1,-66.16666666,-2.53333333
82067,IAUARETE,AM,233.3,234.5,279.1,328.5,378.7,341.1,313.2,243.9,220.9,240.6,215.7,233.2,3262.7,-69.18333333,0.61
82336,ITACOATIARA,AM,327.2,286,371.2,301.6,255.5,152.1,100.6,74.9,84.3,97,147.1,214.9,2412.4,-58.43333333,-3.13333333
82723,LABREA,AM,314.1,315.2,357.7,273.7,147.8,46.1,32.4,72.7,112.5,198.8,243.2,291.2,2405.4,-64.83333333,-7.25
82331,MANAUS,AM,287,295.1,300,319,246.9,118.3,75.4,64.3,76.3,104.1,169.2,245.6,2301.2,-60.01638888,-3.10333333
82533,MANICORE,AM,319.7,347.9,327.3,315.9,210.3,101,48.6,60.5,104.9,199.6,220.5,266.7,2522.9,-61.3,-5.81666666
82240,PARINTINS,AM,292.7,335.6,363.6,346,281.1,186.4,149.9,73.8,63.1,76.7,116.3,189.7,2474.9,-56.73333333,-2.63333333
82106,SAO GABRIEL DA CACHOEIRA(UAUPES),AM,295.7,239,246.9,264.5,346.5,294.1,253.2,209.8,181.6,195.5,204.2,273,3004,-67.06111111,-0.12499999
82317,TEFE,AM,274.2,247.1,306.5,297.1,254.3,158.2,120.5,96.4,132.9,160.3,181,217.2,2445.7,-64.7,-3.83333333
82098,MACAPA,AP,294.7,343.3,394.2,384,319.5,244.7,190.8,92.4,28,34.8,69.8,153.5,2549.7,-51.11666666,-0.05
82095,PORTO PLATON,AP,288.3,NA,307.7,347,326,221.1,176.7,124.7,63.4,84.9,91.2,125.5,NA,-51.45,0.7
82092,SERRA DO NAVIO,AP,238.4,311.2,304.6,273,282.5,206,168.1,135.1,81.6,78.6,96.4,167.3,2342.8,-52.01666666,0.9
83249,ALAGOINHAS,BA,59.8,65.4,75.6,124.6,153.7,152,109.3,93.2,66.7,48.6,61.2,63.2,1073.3,-38.42555556,-12.14833333
83179,BARRA,BA,97.9,100.4,125.5,77.9,15.3,2,0.2,0.6,8.5,33.5,93.5,115.1,670.4,-43.16666666,-11.08333333
83236,BARREIRAS,BA,164.6,126.8,154.9,74.5,23.7,3.6,1,1.3,10.4,65.6,173.3,203.7,1003.4,-45.00777777,-12.15555555
83288,BOM JESUS DA LAPA,BA,118.5,100.3,111.7,52.5,10.1,1.9,0.6,2.6,15.8,54.7,121,207.8,797.5,-43.40527777,-13.25138888
83339,CAETITE,BA,98.4,69,120.7,45.8,12.5,10.1,10.4,4.9,17.6,61.9,153.6,164.6,769.5,-42.48333333,-14.06666666
83226,CAMACARI,BA,87,101.7,143.7,226.9,244.4,232.8,184.9,139.7,103,85.8,111.8,74.9,1736.6,-38.31666666,-12.66666666
83398,CANAVIEIRAS,BA,95.2,118.4,180.2,195.5,145.1,135.5,140,91.2,77.4,124.8,143.2,145.3,1591.8,-38.95,-15.66666666
83498,CARAVELAS,BA,83.8,66.7,147.5,161.8,134.9,85.1,105.6,58.3,90.2,102.7,220.7,148,1405.3,-39.25833333,-17.73916666
83408,CARINHANHA,BA,101.8,105.2,119.5,42.2,5,2.1,0.4,0.2,9.5,35.3,145.3,191.1,757.6,-43.76666666,-14.28333333
83192,CIPO,BA,35.9,43.5,64.3,54.7,57.8,62.2,52.8,36,27.4,24.8,56,39,554.4,-38.51666666,-11.08333333
83286,CORRENTINA,BA,130,104.4,145.5,62,9,0.5,0.3,2.3,10.2,74.2,164.7,220.8,923.9,-44.61722221,-13.33222221
83222,CRUZ DAS ALMAS,BA,63,70.2,97.5,136.5,122.8,142.6,122.8,91.3,79.6,54.8,76.8,59.5,1117.4,-39.08333333,-12.66666666
83221,FEIRA DE SANTANA,BA,68.8,79.1,40.8,66.8,84.7,94.9,72.1,56.5,41.6,31.6,67.4,50,754.3,-38.96722221,-12.1961111
83446,GUARATINGA,BA,98.4,85.9,140.2,101.6,57.3,48.5,58.8,44.2,51.2,83.3,171.5,155.6,1096.5,-39.55,-16.73333333
83182,IRECE,BA,91.8,81.2,112.5,45.7,16.2,1.2,1.1,0.8,4.1,34.3,99.2,120.9,609,-41.86666666,-11.3
83244,ITABERABA,BA,68.3,61.7,95.7,58.7,32.4,36.1,33.3,20.3,18.4,38.5,74.3,80.2,617.9,-40.28333333,-12.51666666
83295,ITIRUCU (JAGUAQUARA),BA,67.4,76,97.5,64.1,52.5,64.3,62.1,47.3,44.3,47.1,103.1,90.5,816.2,-40.11972221,-13.52805554
83292,ITUACU,BA,76,74.7,91.9,54.4,18.6,14.7,8.8,6.3,17.3,42.1,93,120.1,617.9,-41.3,-13.81277777
83186,JACOBINA,BA,104.5,67.9,136.8,82.1,45.9,42.2,36.7,33.6,21.8,30.2,83.8,101.1,786.6,-40.53416666,-11.17277777
83242,LENCOIS,BA,116,96.4,182.7,124.9,59.8,50.7,36.9,35.4,28.5,72.5,132.3,132.6,1068.7,-41.38888888,-12.5575
83090,MONTE SANTO,BA,55.5,57.6,68,63,52.6,62.7,51,34.8,18.9,25.2,49.8,64,603.1,-39.3311111,-10.44249999
