code,name_of_the_station,uf,january,february,march,april,may,june,july,august,september,october,november,december,year,longitude,latitude
83249,ALAGOINHAS,BA,73.6,75.8,75.5,81.4,85.5,87.1,85.9,84.6,81.1,77.5,74.7,73.1,79.7,-38.42555556,-12.14833333
82353,ALTAMIRA,PA,83.6,85.4,85.9,85.6,84.1,80.6,NA,74.2,72.8,72.1,73.8,78.8,NA,-52.21666666,-3.21666666
82970,ALTO PARNAIBA,MA,81,82.2,82.5,79.5,74.2,68.3,63.4,58.3,56.7,64.4,75.2,78.6,72,-45.93333333,-9.1
83096,ARACAJU,SE,74,74.2,74.3,75.3,77.7,77.9,77.7,76.8,76.2,75.9,75.7,74.7,75.9,-37.05,-10.95
83442,ARACUAI,MG,66,62.2,65.4,64.7,63.8,62.2,58.9,53.8,51.2,53.3,65.2,69.4,61.3,-42.05,-16.83333333
83368,ARAGARCAS,GO,79.4,78.9,78.7,74.5,69.9,64.7,57.3,48.7,50.8,62.4,74.2,78.6,68.2,-52.23333333,-15.9
82659,ARAGUAINA,TO,85.6,85.9,86.8,85.5,80.8,71.9,63.8,57.8,63.8,76.1,82.7,84.6,77.1,-48.2,-7.2
83579,ARAXA,MG,79.3,77.7,79.3,75.6,72.9,69.6,63.6,57.5,59.6,67,76.6,80.4,71.6,-46.94944444,-19.60555555
82890,ARCOVERDE,PE,NA,73.4,75.6,76.7,82.5,83.8,85,80.9,75.1,71.2,67.9,68.7,NA,-37.05,-8.43333333
83384,ARINOS,MG,70.5,69.5,72.6,68.9,66,62.1,55.6,48.3,45,52.1,69,73,62.7,-46.10666666,-15.91527777
83049,AVELAR (P.DO ALFERES),RJ,79.2,77.9,80.5,80.9,82,82.1,80,75.8,73.8,74.7,77.7,78,78.6,-43.41666666,-22.35
83980,BAGE,RS,67.5,70,71.1,74.2,78.8,79,77,73.3,72.9,72.1,67,65.5,72.4,-54.1,-31.33333333
82768,BALSAS,MA,80.5,80.4,80.3,77.3,70.9,61.3,53.7,48.5,49.3,61.1,73.2,77.1,67.8,-46.03333333,-7.53333333
83582,BAMBUI,MG,82.3,79.7,82.7,81.9,81.9,81.8,78.8,71.9,69.6,72.5,79.6,82.7,78.8,-46.00888888,-20.0311111
83689,BARBACENA,MG,82.4,NA,NA,82.8,83,81,77.5,72.3,73.6,77,83,83.6,NA,-43.78138888,-21.23972221
82784,BARBALHA,CE,72.5,80,81.8,81.1,76.2,70.2,63.8,57.8,54,53.3,59.3,63.1,67.8,-39.3,-7.31666666
82113,BARCELOS,AM,85.9,85.4,87.4,88.8,90.3,89.1,87.3,85.6,85.4,85.3,86.2,85.3,86.8,-60.91666666,-0.96666666
82571,BARRA DO CORDA,MA,81.6,83.9,86,85.3,81.8,73.5,65.4,57.9,57.3,61.4,68.6,75.2,73.2,-45.23333333,-5.5
